country_WOS,country
NJ07107,United States
NJ07304,United States
NJ07424,United States
NJ07732,United States
NJ07950,United States
NJ07974,United States
NJ08540,United States
NJ08854,United States
NJ08903,United States
NM87131,United States
NM87544,United States
No Ireland,United Kingdom
North Ireland,United Kingdom
North Wales,United Kingdom
Northern Ireland,United Kingdom
NY09102,United States
NY09319,United States
NY09527,United States
NY10000,United States
NY10001,United States
NY10016,United States
NY10021,United States
NY10027,United States
NY10029,United States
NY10032,United States
NY10035,United States
NY10036,United States
NY10037,United States
NY10453,United States
NY10461,United States
NY10465,United States
NY10467,United States
NY10502,United States
NY10598,United States
NY10901,United States
NY10964,United States
NY10979,United States
NY11201,United States
NY11203,United States
NY11238,United States
NY11367,United States
NY11373,United States
NY11432,United States
TRIN + TOBAGO,Trinidad and Tobago
TRINID & TABAGO,Trinidad and Tobago
Trinid & Tobago,Trinidad and Tobago
Trinid and Tobago,Trinidad and Tobago
Trinidad,Trinidad and Tobago
TUNISIE,Tunisia
TUSSR,Turkmenistan
TX75080,United States
TX75235,United States
TX77025,United States
TX77058,United States
TX77488,United States
TX77550,United States
TX77840,United States
TX78235,United States
TX78236,United States
TX78284,United States
TX78373,United States
TX78712,United States
U Arab Emirates,United Arab Emirates
UK,United Kingdom
Ukrainia,Ukraine
UKSSR,Ukraine
UPPER VOLTA,Burkina Faso
USA,United States
USA Virgin Islands,United States Virgin Islands
USSR,Russia
UTAH,United States
UZSSR,Uzbekistan
VA22209,United States
VA22314,United States
VA23298,United States
VA23665,United States
VA24061,United States
VIENNA,Austria
Vietnam,Viet Nam
VT05452,United States
W GER,Germany
W GER.,Germany
W SAMOA,Western Samoa
WA98105,United States
WA98115,United States
WA98125,United States
WA98764,United States
WA99163,United States
WA99218,United States
WA99352,United States
Wales,United Kingdom
WASHINGTON98005,United States
WASHINGTON99011,United States
WEST GERMANY,Germany
WI53706,United States
WI53715,United States
WV26505,United States
YEMEN ARAB REP,Yemen
YEMEN PEO DEM R,Yemen
ZIMBABWE RHODES,Zimbabwe
NY11530,United States
NY11550,United States
NY11570,United States
NY11790,United States
NY11973,United States
NY12201,United States
NY12222,United States
NY12226,United States
NY12308,United States
NY13210,United States
NY13676,United States
NY14203,United States
NY14215,United States
NY14226,United States
NY14456,United States
NY14642,United States
NY14650,United States
NY14850,United States
OH43200,United States
OH43201,United States
OH43403,United States
OH44073,United States
OH44092,United States
OH44118,United States
OH44870,United States
OH45229,United States
OH45407,United States
OH45433,United States
OH45701,United States
OHIO,United States
OK73069,United States
OK73104,United States
OK73190,United States
ONTARIO,Canada
OR97330,United States
OSAKA,Japan
Oslo,Norway
OSTERREICH,Austria
